18:05:43.380 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/139335150.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.381 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/139334653.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.381 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/139332070.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.382 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-mlq/139330653.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.382 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-xyq/139329633.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.382 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/139328441.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.383 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-xyq/139328335.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.383 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/139327019.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.383 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/139325183.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.383 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/lingao/139324131.html?s=sou_sou_soulb&t=0_1已抓取过，跳过
18:05:43.383 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/139318066.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.384 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-xyq/139313462.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.384 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-mlq/139311030.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.384 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/hainansheng/139242969.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.384 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-mlq/139204814.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.384 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/139180402.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.384 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-xyq/139144026.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.384 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/138875070.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.384 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-mlq/138806845.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.385 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/138608466.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.385 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/138547908.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.385 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-xyq/138447439.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.385 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/138425184.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.385 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/hainansheng/137538650.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.385 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-mlq/136641532.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.385 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-xyq/136107951.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.385 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/134597104.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.385 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/beijing/134541340.html?s=sou_sou_soulb&t=0_1已抓取过，跳过
18:05:43.385 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/134392383.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.386 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/134281134.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.386 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-xyq/133591704.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.386 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/132723533.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.386 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/132597031.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.386 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/132324224.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.386 [main] INFO  Job51JobSpider - 解析页数文件:CityPage/海口/3.json
18:05:43.729 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/wenchang/132298721.html?s=sou_sou_soulb&t=0_1已抓取过，跳过
18:05:43.729 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/131039366.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.729 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/foshan-sdq/129816052.html?s=sou_sou_soulb&t=0_1已抓取过，跳过
18:05:43.729 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-xyq/125080115.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.730 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-xyq/124013918.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.730 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/116132555.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.730 [main] INFO  Job51JobSpider - url:https://companyads.51job.com/companyads/2021/hn/qlzy/job.html?jobid=98401143,为异常模板
18:05:43.730 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/127065031.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.730 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/139338357.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.730 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/139304454.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.730 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-mlq/139309517.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.730 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/138959360.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.731 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-lhq/138489905.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.731 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou-qsq/138961525.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.731 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/123900359.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
18:05:43.731 [main] INFO  Job51JobSpider - url:https://jobs.51job.com/haikou/125388584.html?s=sou_sou_soulb&t=0_0已抓取过，跳过
